ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
24600,2.28,1,13,9.773333333333333,3.0,11.0,0.18248941631343263,3.1666666666666665,312,4.366666666666666
24750,2.2266666666666666,1,13,9.88,3.0,11.0,0.1774892496412113,3.24,313,4.366666666666666
24900,2.32,1,13,9.88,3.0,11.0,0.17248908296899,3.473333333333333,314,4.386666666666667
25050,2.1666666666666665,1,10,9.986666666666666,3.0,11.0,0.16748891629676868,3.493333333333333,315,4.46
25200,1.8466666666666667,1,6,10.466666666666667,3.0,11.0,0.1624887496245474,3.526666666666667,316,4.46
25350,2.46,1,21,9.866666666666667,2.0,11.0,0.1574885829523261,3.3066666666666666,317,4.406666666666666
25500,2.1133333333333333,1,21,10.186666666666667,1.0,11.0,0.15248841628010476,3.3133333333333335,318,4.413333333333333
25650,2.26,1,8,10.093333333333334,3.0,11.0,0.14748824960788348,3.1533333333333333,319,4.413333333333333
25800,2.033333333333333,1,7,10.093333333333334,3.0,11.0,0.14248808293566215,3.453333333333333,320,4.413333333333333
25950,2.2066666666666666,1,21,10.133333333333333,2.0,11.0,0.13748791626344087,3.3933333333333335,321,4.413333333333333
26100,2.033333333333333,1,21,10.146666666666667,3.0,11.0,0.13248774959121956,3.36,322,4.413333333333333
26250,2.06,1,15,9.986666666666666,3.0,11.0,0.12748758291899823,3.36,323,4.346666666666667
26400,2.1266666666666665,1,15,10.36,3.0,11.0,0.12248741624677588,3.58,324,4.413333333333333
26550,2.12,1,7,10.2,3.0,11.0,0.11748724957455249,3.56,325,4.413333333333333
26700,2.026666666666667,1,7,10.04,3.0,11.0,0.11248708290232912,3.3733333333333335,326,4.346666666666667
26850,1.96,1,7,10.466666666666667,3.0,11.0,0.10748691623010571,3.3066666666666666,327,4.34
27000,1.9266666666666667,1,5,10.2,3.0,11.0,0.10248674955788233,3.32,328,4.3933333333333335
27150,1.92,1,6,10.626666666666667,3.0,11.0,0.09748658288565894,3.4266666666666667,329,4.386666666666667
27300,1.94,1,6,10.36,3.0,11.0,0.09248641621343555,3.4066666666666667,330,4.386666666666667
27450,1.92,1,16,10.52,3.0,11.0,0.08748624954121216,3.66,331,4.386666666666667
27600,2.0733333333333333,1,5,10.2,3.0,11.0,0.08248608286898877,3.3666666666666667,332,4.386666666666667
27750,1.84,1,7,10.573333333333334,3.0,11.0,0.07748591619676538,3.433333333333333,333,4.366666666666666
27900,1.8533333333333333,1,6,10.68,3.0,11.0,0.07248574952454201,2.98,334,4.366666666666666
28050,1.9266666666666667,1,8,10.413333333333334,3.0,11.0,0.0674855828523186,3.32,335,4.3133333333333335
28200,1.82,1,6,10.68,3.0,11.0,0.06248541618009535,3.3666666666666667,336,4.3133333333333335
28350,1.8666666666666667,1,5,10.573333333333334,3.0,11.0,0.05748524950787288,3.1866666666666665,337,4.306666666666667
28500,1.7466666666666666,1,5,10.733333333333333,3.0,11.0,0.05248508283565053,3.2666666666666666,338,4.3
28650,1.7933333333333332,1,4,10.786666666666667,3.0,11.0,0.04748491616342819,3.566666666666667,339,4.306666666666667
28800,1.8666666666666667,1,5,10.733333333333333,3.0,11.0,0.042484749491205835,3.533333333333333,340,4.306666666666667
